User Input,Chatbot Response,Timestamp
hi,Hello! How can I assist you today?,2025-03-05 22:13:05
greeting,"Most Bluetooth accessories, like headphones and smartwatches, are cross-compatible with both iOS and Android devices.",2025-03-05 22:16:26
hi,Hi there! What can I do for you?,2025-03-06 09:21:57
best time to buy,"The best time to buy a smartphone is during major sales events like Amazon Prime Day, Flipkart Big Billion Days, or Black Friday.",2025-03-06 09:22:24
hi,Hi! ðŸ‘‹ I'm your TechCertify Course Assistant. I can recommend the best courses for you. What job are you interested in??,2025-03-06 09:26:22
hello,Hi! How can I help?,2025-03-06 09:27:39
hello,Hello! Feel free to ask me anything.,2025-03-06 09:28:22
i want to become software engineer," Thatâ€™s a great choice! ðŸš€ For software development, I recommend these courses:  Java Programming (For backend development)  Python Programming (For versatile applications)",2025-03-06 09:37:34
i want to become software engineer," Thatâ€™s a great choice!  For software development, I recommend these courses:  Java Programming (For backend development)  Python Programming (For versatile applications) C++ Programming (For performance-critical software)",2025-03-06 09:39:21
i want to become software engineer," Thats a great choice!  For software development, I recommend these courses:  Java Programming (For backend development)  Python Programming (For versatile applications) C++ Programming (For performance-critical software)",2025-03-06 09:40:17
how can i start learning java,Android App Development using Java.,2025-03-06 09:46:48
where should i begin with java programming,Excellent! The Java Programming course will teach you:1. Object-Oriented Programming (OOP) 2.Java Web Applications  3.Android App Development using Java ,2025-03-06 09:48:10
hi,Hi!  I'm your TechCertify Course Assistant. I can recommend the best courses for you. What job are you interested in?,2025-03-06 09:52:07
cyber security analyst, Cyber Security is in high demand! Here are the best courses for you: 1. Cyber Security (Learn ethical hacking and security practices) 2.Cloud Computing (Understand cloud security risks),2025-03-06 09:55:42
hi,Hi!  I'm your TechCertify Course Assistant. I can recommend the best courses for you. What job are you interested in?,2025-03-06 09:55:48
cyber security analyst, Cyber Security is in high demand! Here are the best courses for you: 1. Cyber Security (Learn ethical hacking and security practices) 2.Cloud Computing (Understand cloud security risks),2025-03-06 09:55:58
data analyst,"Look for features like biometric authentication, secure storage, and software updates for the best protection.",2025-03-06 09:58:32
i want to become data analyst," Thats a great choice!  For software development, I recommend these courses:  Java Programming (For backend development)  Python Programming (For versatile applications) C++ Programming (For performance-critical software)",2025-03-06 09:58:59
data analyst,Data Science is a top career choice! Here are the best courses for you: 1.Python Programming (For data analysis and ML) 2. Data Analysis (For working with large datasets) 3.AI & ML (For machine learning models),2025-03-06 09:59:45
how can i get certification,"You can find discounts on phones during flash sales, seasonal offers, or through exchange and credit card offers on platforms like Amazon and Flipkart.",2025-03-06 10:03:46
how can i get a certification?,"You can find discounts on phones during flash sales, seasonal offers, or through exchange and credit card offers on platforms like Amazon and Flipkart.",2025-03-06 10:04:04
recommand some certifications,You can get a free certification by completing our recommended courses. Some options:1.Web Development â†’ FreeCodeCamp 2.Java Programming â†’ Coursera 3.Cloud Computing â†’ AWS Free Training,2025-03-06 10:04:26
recommand some certifications,You can get a free certification by completing our recommended courses. Some options:1.Web Development â†’ FreeCodeCamp 2.Java Programming â†’ Coursera 3.Cloud Computing â†’ AWS Free Training,2025-03-06 10:04:43
how can i get a certificat,"You can find discounts on phones during flash sales, seasonal offers, or through exchange and credit card offers on platforms like Amazon and Flipkart.",2025-03-06 10:05:29
how can i get a certification,"Using no-cost EMI, cashback offers, or festive sales are great ways to save on smartphone purchases.",2025-03-06 10:05:35
how can i get a certification?,"Using no-cost EMI, cashback offers, or festive sales are great ways to save on smartphone purchases.",2025-03-06 10:05:40
recommand some certifications,You can get a free certification by completing our recommended courses. Some options:1.Web Development FreeCodeCamp 2.Java Programming Coursera 3.Cloud Computing AWS Free Training,2025-03-06 10:05:57
the app is not working properly what should i do,Try these quick fixes: 1. Restart the app. 2. Clear the cache in Settings > Apps > TechCertify > Clear Cache. 3.Check your internet connection.,2025-03-06 10:10:47
im getting error while opening the course,"Sorry about that! Try refreshing the page or restarting the app. If the problem continues, let us know, and our team will fix it.",2025-03-06 10:13:22
data scientic, Awesome! Python is a great choice for Data Science. Here are some recommended courses for you: 1. Python Programming â€“ Learn Python fundamentals and scripting. 2.Data Analysis â€“ Use Python for analyzing and visualizing data. 3. AI & ML â€“ Apply Python for Machine Learning and AI models.,2025-03-06 10:18:30
